X,Z,coorX,coorY,coorZ,formacion,corte
2.289206375,297.6827153,1099038.13,1254000.839,297.6827153,Jordan,B
47.55305971,274.4603188,1099080.244,1254017.428,274.4603188,Jordan,B
83.45197787,269.8356594,1099113.645,1254030.585,269.8356594,Jordan,B
123.9293088,260.5632174,1099151.306,1254045.42,260.5632174,Jordan,B
172.3148072,297.8082418,1099196.325,1254063.154,297.8082418,Jordan,B
211.6475349,339.6977455,1099232.921,1254077.569,339.6977455,Jordan,B
233.70716,353.66752,1099253.445,1254085.654,353.66752,Jordan,B
286.3589066,400.2180197,1099302.433,1254104.951,400.2180197,Jordan,B
343.9012305,428.1674787,1099355.972,1254126.04,428.1674787,Jordan,B
383.9623421,437.4993806,1099393.245,1254140.723,437.4993806,Jordan,B
446.499298,442.1967132,1099451.431,1254163.643,442.1967132,Jordan,B
540.4608143,442.2660831,1099538.854,1254198.08,442.2660831,Jordan,B
607.576183,442.315633,1099601.3,1254222.677,442.315633,Jordan,B
661.1644232,447.0063589,1099651.159,1254242.318,447.0063589,Jordan,B
705.491783,465.6437361,1099692.402,1254258.564,465.6437361,Jordan,B
777.0815096,465.6965893,1099759.01,1254284.801,465.6965893,Jordan,B
830.8778594,461.0851433,1099809.063,1254304.518,461.0851433,Jordan,B
924.7353208,465.8055991,1099896.39,1254338.917,465.8055991,Jordan,B
1050.017342,465.8980923,1100012.955,1254384.833,465.8980923,Jordan,B
1143.770749,475.2696342,1100100.184,1254419.193,475.2696342,Jordan,B
1201.937402,475.3125774,1100154.304,1254440.512,475.3125774,Jordan,B
1269.156826,470.7110414,1100216.846,1254465.148,470.7110414,Jordan,B
1344.908746,484.7204559,1100287.327,1254492.911,484.7204559,Jordan,B
1366.031877,540.5500041,1100306.98,1254500.652,540.5500041,Jordan,B
1400.994302,577.7851185,1100339.51,1254513.466,577.7851185,Jordan,B
1422.429598,619.6614089,1100359.453,1254521.322,619.6614089,Jordan,B
1443.864894,661.5376992,1100379.397,1254529.178,661.5376992,Jordan,B
1474.76918,680.1651664,1100408.151,1254540.505,680.1651664,Jordan,B
1550.937319,675.570237,1100479.019,1254568.42,675.570237,Jordan,B
1609.103972,675.6131803,1100533.139,1254589.739,675.6131803,Jordan,B
1667.58279,661.7028656,1100587.548,1254611.171,661.7028656,Jordan,B
1730.43191,652.4469403,1100646.024,1254634.205,652.4469403,Jordan,B
1842.603023,638.5762656,1100750.39,1254675.316,638.5762656,Jordan,B
1950.403832,620.0512016,1100850.69,1254714.825,620.0512016,Jordan,B
2035.520687,615.4628789,1100929.884,1254746.021,615.4628789,Jordan,B
2120.325378,624.827814,1101008.788,1254777.102,624.827814,Jordan,B
2200.655711,634.1894459,1101083.529,1254806.543,634.1894459,Jordan,B
2276.511686,643.5477744,1101154.106,1254834.344,643.5477744,Jordan,B
2352.887935,629.6506731,1101225.168,1254862.336,629.6506731,Jordan,B
2438.00479,625.0623503,1101304.362,1254893.532,625.0623503,Jordan,B
2487.118672,629.7497729,1101350.059,1254911.532,629.7497729,Jordan,B
2612.400694,629.8422661,1101466.624,1254957.448,629.8422661,Jordan,B
2715.310926,629.9182426,1101562.373,1254995.165,629.9182426,Jordan,B
2786.900652,629.9710959,1101628.981,1255021.403,629.9710959,Jordan,B
2898.7596,630.0536791,1101733.057,1255062.399,630.0536791,Jordan,B
2979.193988,634.764225,1101807.894,1255091.878,634.764225,Jordan,B
3099.793542,644.1555868,1101920.102,1255136.078,644.1555868,Jordan,B
3143.080353,709.3038236,1101960.377,1255151.943,709.3038236,Jordan,B
3173.152201,765.1399785,1101988.357,1255162.964,765.1399785,Jordan,B
3181.060368,811.6574449,1101995.714,1255165.863,811.6574449,Jordan,B
3212.276819,816.3316541,1102024.759,1255177.303,816.3316541,Jordan,B
3270.235362,825.6767693,1102078.684,1255198.545,825.6767693,Jordan,B
3341.825089,825.7296226,1102145.293,1255224.783,825.7296226,Jordan,B
3404.25799,835.0780411,1102203.381,1255247.665,835.0780411,Jordan,B
3462.424643,835.1209844,1102257.501,1255268.983,835.1209844,Jordan,B
3507.272277,830.5029317,1102299.228,1255285.42,830.5029317,Jordan,B
3583.336361,830.5590883,1102369.999,1255313.297,830.5590883,Jordan,B
3619.02717,835.2366009,1102403.206,1255326.378,835.2366009,Jordan,B
3650.035511,849.2129821,1102432.057,1255337.742,849.2129821,Jordan,B
3712.468412,858.5614006,1102490.146,1255360.624,858.5614006,Jordan,B
3752.633578,863.2422165,1102527.516,1255375.345,863.2422165,Jordan,B
3784.058139,858.6142539,1102556.754,1255386.862,858.6142539,Jordan,B
3833.38013,853.9995045,1102602.644,1255404.939,853.9995045,Jordan,B
3904.553638,872.6567016,1102668.865,1255431.024,872.6567016,Jordan,B
3985.09208,872.7161615,1102743.8,1255460.541,872.7161615,Jordan,B
4025.257247,877.3969775,1102781.17,1255475.262,877.3969775,Jordan,B
4092.268561,882.0976133,1102843.519,1255499.821,882.0976133,Jordan,B
4159.383929,882.1471633,1102905.964,1255524.419,882.1471633,Jordan,B
4284.978115,868.2863985,1103022.819,1255570.45,868.2863985,Jordan,B
4338.87852,859.0238665,1103072.969,1255590.204,859.0238665,Jordan,B
4410.572302,854.4256338,1103139.674,1255616.48,854.4256338,Jordan,B
4531.900239,831.2593938,1103252.56,1255660.947,831.2593938,Jordan,B
4566.862664,868.4945082,1103285.089,1255673.761,868.4945082,Jordan,B
4587.881741,928.9751425,1103304.646,1255681.464,928.9751425,Jordan,B
4659.575522,924.3769097,1103371.351,1255707.74,924.3769097,Jordan,B
4722.320588,919.7720704,1103429.73,1255730.736,919.7720704,Jordan,B
4776.012883,919.8117103,1103479.686,1255750.415,919.8117103,Jordan,B
4805.980676,980.2989512,1103507.569,1255761.398,980.2989512,Jordan,B
4822.629449,1036.125196,1103523.059,1255767.5,1036.125196,Jordan,B
4889.952928,1026.872574,1103585.698,1255792.174,1026.872574,Jordan,B
4948.015526,1031.566603,1103639.721,1255813.454,1031.566603,Jordan,B
4997.129408,1036.254026,1103685.417,1255831.454,1036.254026,Jordan,B
5046.347345,1036.290363,1103731.21,1255849.492,1036.290363,Jordan,B
5126.885787,1036.349822,1103806.145,1255879.01,1036.349822,Jordan,B
5238.744735,1036.432406,1103910.22,1255920.006,1036.432406,Jordan,B
5318.971013,1050.445123,1103984.864,1255949.409,1050.445123,Jordan,B
5404.087869,1045.856801,1104064.058,1255980.605,1045.856801,Jordan,B
5498.049385,1045.926171,1104151.482,1256015.042,1045.926171,Jordan,B
5578.379718,1055.287802,1104226.222,1256044.483,1055.287802,Jordan,B
5672.237179,1060.008258,1104313.549,1256078.882,1060.008258,Jordan,B
5774.731192,1078.688579,1104408.911,1256116.446,1078.688579,Jordan,B
5868.588653,1083.409035,1104496.238,1256150.845,1083.409035,Jordan,B
5962.238005,1097.431662,1104583.371,1256185.168,1097.431662,Jordan,B
6047.250805,1097.494426,1104662.468,1256216.325,1097.494426,Jordan,B
6154.635395,1097.573706,1104762.381,1256255.681,1097.573706,Jordan,B
6194.904616,1097.603435,1104799.848,1256270.44,1097.603435,Jordan,B
6232.676522,1009.259229,1104834.992,1256284.284,1009.259229,Jordan,B
6212.802048,697.6166488,1104816.5,1256277,697.6166488,Jordan,B
6263.788917,418.5845239,1104863.939,1256295.686,418.5845239,Jordan,B
6205.206045,237.1459245,1104809.433,1256274.216,237.1459245,Jordan,B
6234.445454,130.1907672,1104836.638,1256284.932,130.1907672,Jordan,B
6013.953258,185.8419358,1104631.488,1256204.121,185.8419358,Jordan,B
6098.029565,427.7644727,1104709.714,1256234.935,427.7644727,Jordan,B
6079.091585,674.2621191,1104692.094,1256227.995,674.2621191,Jordan,B
6110.724255,860.3319845,1104721.525,1256239.588,860.3319845,Jordan,B
5845.696589,906.6479478,1104474.939,1256142.455,906.6479478,Jordan,B
5658.71005,864.6494343,1104300.963,1256073.924,864.6494343,Jordan,B
5482.961434,920.3336361,1104137.444,1256009.512,920.3336361,Jordan,B
5718.74969,980.9728301,1104356.825,1256095.929,980.9728301,Jordan,B
5982.528698,990.4698984,1104602.25,1256192.604,990.4698984,Jordan,B
5952.352795,739.2848295,1104574.174,1256181.545,739.2848295,Jordan,B
5960.781237,362.546866,1104582.016,1256184.634,362.546866,Jordan,B
5671.925014,273.9615162,1104313.259,1256078.767,273.9615162,Jordan,B
5480.047898,250.5640433,1104134.733,1256008.444,250.5640433,Jordan,B
5111.589727,520.0594599,1103791.913,1255873.404,520.0594599,Jordan,B
5045.618961,868.8479643,1103730.533,1255849.226,868.8479643,Jordan,B
4950.304732,929.242712,1103641.85,1255814.293,929.242712,Jordan,B
4874.136593,733.8376414,1103570.982,1255786.377,733.8376414,Jordan,B
4723.881411,450.0057808,1103431.182,1255731.308,450.0057808,Jordan,B
4652.291684,249.9529276,1103364.574,1255705.071,249.9529276,Jordan,B
4927.412668,152.4816252,1103620.551,1255805.903,152.4816252,Jordan,B
5142.181848,352.640185,1103820.376,1255884.616,352.640185,Jordan,B
5638.211248,380.9133702,1104281.891,1256066.411,380.9133702,Jordan,B
5610.740771,608.8000661,1104256.332,1256056.343,608.8000661,Jordan,B
5268.192254,720.1750764,1103937.619,1255930.799,720.1750764,Jordan,B
5248.629945,794.5792386,1103919.418,1255923.629,794.5792386,Jordan,B
4981.417128,538.5680073,1103670.798,1255825.695,538.5680073,Jordan,B
4890.473202,403.6171443,1103586.182,1255792.364,403.6171443,Jordan,B
5166.946899,245.6817243,1103843.418,1255893.692,245.6817243,Jordan,B
5656.837063,148.3689817,1104299.221,1256073.238,148.3689817,Jordan,B
5961.509621,129.9892642,1104582.693,1256184.901,129.9892642,Jordan,B
5903.967297,502.0398051,1104529.155,1256163.811,502.0398051,Jordan,B
5770.464943,669.3831035,1104404.942,1256114.882,669.3831035,Jordan,B
5621.354365,734.3892972,1104266.207,1256060.233,734.3892972,Jordan,B
5353.933438,287.6802378,1104017.394,1255962.223,287.6802378,Jordan,B
5389.416137,501.6599224,1104050.407,1255975.228,501.6599224,Jordan,B
5435.408374,645.879924,1104093.199,1255992.084,645.879924,Jordan,B
5131.047981,650.3063837,1103810.017,1255880.535,650.3063837,Jordan,B
5169.860434,915.4513172,1103846.129,1255894.76,915.4513172,Jordan,B
5401.694607,952.831778,1104061.832,1255979.728,952.831778,Jordan,B
4881.420431,608.2616236,1103577.759,1255789.047,608.2616236,Jordan,B
4682.467586,701.1379965,1103392.65,1255716.13,701.1379965,Jordan,B
4550.109836,817.3193492,1103269.502,1255667.621,817.3193492,Jordan,B
4248.767033,686.8643158,1102989.127,1255557.178,686.8643158,Jordan,B
3975.727145,691.3138988,1102735.086,1255457.109,691.3138988,Jordan,B
3769.594516,705.1152036,1102543.297,1255381.561,705.1152036,Jordan,B
3527.979189,704.9368239,1102318.494,1255293.009,704.9368239,Jordan,B
3340.056157,704.7980841,1102143.647,1255224.135,704.7980841,Jordan,B
3236.105376,551.2329672,1102046.929,1255186.037,551.2329672,Jordan,B
3096.567842,388.3392518,1101917.101,1255134.896,388.3392518,Jordan,B
2867.855314,211.4262119,1101704.303,1255051.072,211.4262119,Jordan,B
