Linea;Arreglo;X;Y;Z;Resistivity
TRE01;Gradiente;799,3;1555,59;29,07;20,01
TRE01;Gradiente;596,27;1631,91;24,32;14,5
TRE01;Gradiente;609,81;1626,82;23,92;14,0
TRE01;Gradiente;618,83;1623,43;23,63;13,08
TRE01;Gradiente;627,85;1620,04;23,32;12,26
TRE01;Gradiente;636,88;1616,65;23,0;11,31
TRE01;Gradiente;645,9;1613,25;22,69;10,99
TRE01;Gradiente;961,73;1494,53;23,6;10,6
TRE01;Gradiente;654,92;1609,86;22,38;11,0
TRE01;Gradiente;672,97;1603,08;21,85;11,7
TRE01;Gradiente;681,99;1599,68;21,62;12,55
TRE01;Gradiente;691,02;1596,29;21,42;13,87
TRE01;Gradiente;700,04;1592,9;21,2;15,54
TRE01;Gradiente;709,07;1589,51;20,96;17,16
TRE01;Gradiente;718,09;1586,12;20,7;18,46
TRE01;Gradiente;727,11;1582,72;20,44;19,57
TRE01;Gradiente;754,18;1572,55;81,83;56,5
TRE01;Gradiente;1029,41;1469,08;19,45;9,54
TRE01;Gradiente;1011,36;1475,87;20,36;9,53
TRE01;Gradiente;993,31;1482,65;21,4;9,63
TRE01;Gradiente;826,37;1545,41;28,09;18,66
TRE01;Gradiente;835,4;1542,02;27,74;18,58
TRE01;Gradiente;844,42;1538,62;27,46;18,97
TRE01;Gradiente;853,44;1535,23;27,26;19,75
TRE01;Gradiente;862,47;1531,84;27,14;20,19
TRE01;Gradiente;871,49;1528,45;26,92;20,31
TRE01;Gradiente;880,52;1525,06;26,6;20,43
TRE01;Gradiente;663,95;1606,47;22,1;11,2
TRE01;Gradiente;736,14;1579,33;20,18;20,63
TRE01;Gradiente;907,59;1514,88;25,87;15,89
TRE01;Gradiente;916,61;1511,49;25,63;13,71
TRE01;Gradiente;925,63;1508,09;25,37;12,23
TRE01;Gradiente;934,66;1504,7;25,1;11,6
TRE01;Gradiente;943,68;1501,31;24,8;11,31
TRE01;Gradiente;952,7;1497,92;24,35;11,03
TRE01;Gradiente;975,26;1489,44;22,55;10,09
TRE01;Gradiente;889,54;1521,66;26,34;19,79
TRE01;Gradiente;898,56;1518,27;26,1;18,14
TRE01;Gradiente;745,16;1575,94;19,92;21,56
TRE01;Gradiente;754,18;1572,55;19,64;22,1
TRE01;Gradiente;763,21;1569,15;19,36;22,24
TRE01;Gradiente;952,7;1497,92;13,71;11,3
TRE01;Gradiente;961,73;1494,53;13,13;10,54
TRE01;Gradiente;975,26;1489,44;12,24;9,88
TRE01;Gradiente;993,31;1482,65;11,22;9,0
TRE01;Gradiente;1011,36;1475,87;10,28;8,58
TRE01;Gradiente;596,27;1631,91;12,67;14,15
TRE01;Gradiente;691,02;1596,29;9,84;12,88
TRE01;Gradiente;627,85;1620,04;11,73;12,18
TRE01;Gradiente;618,83;1623,43;12,01;13,04
TRE01;Gradiente;636,88;1616,65;11,43;11,44
TRE01;Gradiente;645,9;1613,25;11,14;11,18
TRE01;Gradiente;654,92;1609,86;10,85;11,18
TRE01;Gradiente;663,95;1606,47;10,57;11,26
TRE01;Gradiente;672,97;1603,08;10,32;11,65
TRE01;Gradiente;681,99;1599,68;10,08;12,19
TRE01;Gradiente;609,81;1626,82;12,28;13,64
TRE01;Gradiente;844,42;1538,62;16,85;19,87
TRE01;Gradiente;817,35;1548,8;28,46;18,76
TRE01;Gradiente;835,4;1542,02;17,12;19,71
TRE01;Gradiente;916,61;1511,49;14,85;15,36
TRE01;Gradiente;772,23;1565,76;19,08;22,31
TRE01;Gradiente;781,26;1562,37;18,81;21,81
TRE01;Gradiente;790,28;1558,98;18,56;20,91
TRE01;Gradiente;808,33;1552,19;18,05;19,93
TRE01;Gradiente;817,35;1548,8;17,76;19,8
TRE01;Gradiente;826,37;1545,41;17,44;19,74
TRE01;Gradiente;700,04;1592,9;9,6;13,98
TRE01;Gradiente;934,66;1504,7;14,35;12,86
TRE01;Gradiente;853,44;1535,23;16,62;20,14
TRE01;Gradiente;862,47;1531,84;16,42;20,3
TRE01;Gradiente;871,49;1528,45;16,14;20,37
TRE01;Gradiente;880,52;1525,06;15,81;20,38
TRE01;Gradiente;889,54;1521,66;15,54;19,97
TRE01;Gradiente;898,56;1518,27;15,3;18,85
TRE01;Gradiente;907,59;1514,88;15,08;17,16
TRE01;Gradiente;925,63;1508,09;14,61;13,89
TRE01;Gradiente;943,68;1501,31;14,08;12,02
TRE01;Gradiente;808,33;1552,19;28,78;19,13
TRE01;Gradiente;636,88;1616,65;88,46;10,18
TRE01;Gradiente;469,94;1679,4;83,22;10,09
TRE01;Gradiente;1119,64;1435,16;66,96;11,12
TRE01;Gradiente;1101,6;1441,95;66,77;8,36
TRE01;Gradiente;1083,55;1448,73;66,08;13,77
TRE01;Gradiente;1065,5;1455,51;65,5;16,18
TRE01;Gradiente;1047,45;1462,3;65,99;20,6
TRE01;Gradiente;663,95;1606,47;80,62;65,67
TRE01;Gradiente;1029,41;1469,08;67,17;23,12
TRE01;Gradiente;993,31;1482,65;70,7;12,16
TRE01;Gradiente;975,26;1489,44;73,26;7,63
TRE01;Gradiente;961,73;1494,53;76,38;7,2
TRE01;Gradiente;952,7;1497,92;79,6;15,17
TRE01;Gradiente;943,68;1501,31;81,87;23,62
TRE01;Gradiente;934,66;1504,7;82,84;18,27
TRE01;Gradiente;506,03;1665,83;82,93;7,91
TRE01;Gradiente;487,99;1672,62;81,93;11,81
TRE01;Gradiente;533,1;1655,66;86,06;7,62
TRE01;Gradiente;560,18;1645,48;87,42;7,91
TRE01;Gradiente;578,22;1638,69;87,01;8,69
TRE01;Gradiente;727,11;1582,72;81,22;6,1
TRE01;Gradiente;718,09;1586,12;81,29;5,84
TRE01;Gradiente;709,07;1589,51;81,4;10,04
TRE01;Gradiente;700,04;1592,9;81,28;11,61
TRE01;Gradiente;691,02;1596,29;80,87;14,66
TRE01;Gradiente;681,99;1599,68;80,57;85,25
TRE01;Gradiente;925,63;1508,09;83,64;22,28
TRE01;Gradiente;1011,36;1475,87;68,7;16,37
TRE01;Gradiente;672,97;1603,08;80,52;76,81
TRE01;Gradiente;645,9;1613,25;81,58;4,76
TRE01;Gradiente;636,88;1616,65;82,27;5,5
TRE01;Gradiente;627,85;1620,04;83,16;11,91
TRE01;Gradiente;618,83;1623,43;84,17;10,62
TRE01;Gradiente;609,81;1626,82;85,03;10,48
TRE01;Gradiente;596,27;1631,91;85,95;9,27
TRE01;Gradiente;736,14;1579,33;81,32;28,43
TRE01;Gradiente;654,92;1609,86;81,0;17,22
TRE01;Gradiente;916,61;1511,49;84,59;25,39
TRE01;Gradiente;907,59;1514,88;85,59;29,74
TRE01;Gradiente;898,56;1518,27;86,46;23,83
TRE01;Gradiente;700,04;1592,9;87,67;11,82
TRE01;Gradiente;691,02;1596,29;87,11;8,05
TRE01;Gradiente;681,99;1599,68;86,68;7,12
TRE01;Gradiente;672,97;1603,08;86,56;8,54
TRE01;Gradiente;663,95;1606,47;86,63;21,02
TRE01;Gradiente;654,92;1609,86;87,03;52,73
TRE01;Gradiente;645,9;1613,25;87,68;30,53
TRE01;Gradiente;627,85;1620,04;89,49;6,14
TRE01;Gradiente;469,94;1679,4;88,7;60,82
TRE01;Gradiente;618,83;1623,43;90,68;5,14
TRE01;Gradiente;609,81;1626,82;91,71;4,81
TRE01;Gradiente;596,27;1631,91;92,79;4,84
TRE01;Gradiente;578,22;1638,69;94,03;6,31
TRE01;Gradiente;560,18;1645,48;94,4;6,82
TRE01;Gradiente;533,1;1655,66;92,47;7,68
TRE01;Gradiente;506,03;1665,83;88,55;5,03
TRE01;Gradiente;709,07;1589,51;87,89;9,09
TRE01;Gradiente;817,35;1548,8;84,82;6,84
TRE01;Gradiente;718,09;1586,12;87,82;12,49
TRE01;Gradiente;826,37;1545,41;83,46;5,66
TRE01;Gradiente;889,54;1521,66;87,02;19,23
TRE01;Gradiente;880,52;1525,06;87,32;23,67
TRE01;Gradiente;871,49;1528,45;86,61;15,36
TRE01;Gradiente;862,47;1531,84;84,22;6,43
TRE01;Gradiente;853,44;1535,23;82,35;4,18
TRE01;Gradiente;844,42;1538,62;82,14;3,98
TRE01;Gradiente;835,4;1542,02;82,46;4,35
TRE01;Gradiente;487,99;1672,62;87,3;5,6
TRE01;Gradiente;736,14;1579,33;88,01;16,63
TRE01;Gradiente;808,33;1552,19;86,03;6,86
TRE01;Gradiente;799,3;1555,59;87,24;8,69
TRE01;Gradiente;790,28;1558,98;88,25;9,98
TRE01;Gradiente;781,26;1562,37;88,77;8,47
TRE01;Gradiente;772,23;1565,76;89,02;5,85
TRE01;Gradiente;763,21;1569,15;89,09;5,19
TRE01;Gradiente;754,18;1572,55;88,86;5,56
TRE01;Gradiente;727,11;1582,72;87,81;17,16
TRE01;Gradiente;781,26;1562,37;-34,45;18,4
