nuevo_X,nuevo_Y,Z,Unidad
1109036.77,1259898.34,1284,K1ls_mi
1109136.77,1259898.34,1309,K1ls_mi
1109236.77,1259898.34,1317,K1ls_mi
1109336.77,1259898.34,1330,K1ls_mi
1109436.77,1259898.34,1350,K1ls_mi
1109536.77,1259898.34,1384,K1ls_mi
1109636.77,1259898.34,1414,K1ls_mi
1109736.77,1259898.34,1423,K1ls_mi
1109836.77,1259898.34,1384,K1ls_mi
1109936.77,1259898.34,1364,K1ls_mi
1110036.77,1259898.34,1358,K1ls_mi
1110136.77,1259898.34,1352,K1ls_mi
1110236.77,1259898.34,1326,K1ls_mi
1110336.77,1259898.34,1316,K1ls_mi
1110436.77,1259898.34,1303,K1ls_mi
1110536.77,1259898.34,1279,K1ls_mi
1110636.77,1259898.34,1259,K1ls_mi
1110736.77,1259898.34,1260,K1ls_mi
1110836.77,1259898.34,1267,K1ls_mi
1110936.77,1259898.34,1282,K1ls_mi
1111036.77,1259898.34,1300,K1ls_mi
1111136.77,1259898.34,1307,K1ls_mi
1111236.77,1259898.34,1294,K1ls_mi
1111336.77,1259898.34,1275,K1ls_mi
1111436.77,1259898.34,1278,K1ls_mi
1111536.77,1259898.34,1287,K1ls_mi
1111636.77,1259898.34,1309,K1ls_mi
1111736.77,1259898.34,1299,K1ls_mi
1111836.77,1259898.34,1297,J1-2j
1111936.77,1259898.34,1295,J1-2j
1112036.77,1259898.34,1310,J1-2j
1112136.77,1259898.34,1322,J1-2j
1112236.77,1259898.34,1275,J1-2j
1112336.77,1259898.34,1259,J1-2j
1112436.77,1259898.34,1245,J1-2j
1112536.77,1259898.34,1227,J1-2j
1112636.77,1259898.34,1203,J1-2j
1112736.77,1259898.34,1219,J1-2j
1112836.77,1259898.34,1224,J1-2j
1112936.77,1259898.34,1213,OSs
1113036.77,1259898.34,1213,OSs
1113136.77,1259898.34,1225,OSs
1113236.77,1259898.34,1239,OSs
1113336.77,1259898.34,1233,OSs
1113436.77,1259898.34,1229,OSs
1113536.77,1259898.34,1222,OSs
1113636.77,1259898.34,1201,OSs
1113736.77,1259898.34,1155,J1-2j
1113836.77,1259898.34,1112,J1-2j
