Muestra;Estacion;MuestraNew;X;Y;Z;Formacion Geologica;Unidad;Litologia;Abreviacion;Uni-Lito;Agua [%];Porosidad [%];Densidad [gr/cm3];Rho Dry [Ohm*m];Rho Wet [Ohm*m];M Dry [mV/V];M Wet [mV/V];Vp [m/s];Peak Load [kN];Is50 [MPa];LF [SI];HF [SI];FD [%];Distancia Falla [m];
Ls5-12;LSN-01;LSN-01;1114949.39;1246238.02;1745.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.39;10.98;2.66;81106.66;916.49;8.65;22.49;1059.00;1.32;0.41;1.47E-05;2.38E-05;-61.45;1579.23;
Ls5-13a;LSN-02;LSN-02a;1115819.32;1247030.08;1761.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.07;9.89;2.65;27840.54;816.88;9.65;21.16;1294.00;1.82;0.61;7.52E-06;3.03E-06;59.76;577.10;
Ls5-13b;LSN-02;LSN-02b;1115819.32;1247030.08;1761.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.76;7.84;2.61;18728.80;315.44;9.83;14.52;2550.00;0.52;0.33;2.12E-05;3.18E-05;-49.71;577.10;
Ls6-01;LSN-03;LSN-03;1115324.37;1256812.13;1677.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];4.07;7.24;2.64;1600804.29;497.95;47.46;7.52;3297.00;0.72;0.24;3.39E-06;1.66E-06;50.98;21.24;
Ls6-02;LSN-04;LSN-04;1115076.27;1257212.30;1608.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];0.68;20.17;2.76;14030.35;662.24;9.74;33.65;2175.00;0.42;0.13;2.14E-05;3.64E-05;-69.97;211.66;
Ls6-03;LSN-05;LSN-05;1114601.39;1257700.61;1523.00;Fm. Los Santos;K1ls_mi;arenisca;Ar;K1ls_mi [Ar];4.87;7.38;2.65;1773.65;163.71;13.72;13.94;3745.00;4.52;1.36;1.19E-05;8.04E-06;32.71;226.09;
Ls6-04a;LSN-06;LSN-06a;1115132.61;1257617.41;1443.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];2.30;8.64;2.64;514420.48;1354.95;17.02;10.78;2138.00;8.72;2.85;3.76E-06;4.36E-06;-15.79;447.67;
Ls6-04b;LSN-06;LSN-06b;1115132.61;1257617.41;1443.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];2.25;7.24;2.63;424014.55;1708.79;13.07;13.13;1607.00;10.02;3.21;8.17E-06;1.03E-05;-25.97;447.67;
Ls6-16-2;LSN-06;LSN-06c;1115132.61;1257617.41;1443.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];1.75;2.49;2.63;13364.01;395.97;6.91;9.08;2476.00;11.62;3.53;5.74E-06;7.90E-06;-37.51;447.67;
Ls6-05a;LSN-07;LSN-07a;1115089.35;1259669.04;1195.00;Granito de Pescadero;J1gp;granito;Gr;J1gp [Gr];5.71;6.45;2.68;21361.68;556.40;16.99;13.73;3475.00;0.42;0.18;1.08E-04;9.55E-05;11.97;777.10;
